id,kind,wp,title,priority,owner,request,development_status,verification_status,source_evidence
WP00-R001,Requirement,WP00,최신 기준선 확정,P0,Repository Governance,origin/master를 동기화하고 시작 SHA를 기록하며 새 Push가 있으면 새 SHA를 우선한다.,완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R002,Requirement,WP00,상태 문서 우선순위,P0,Repository Governance,"Current, Continuity, Handover, Report, Evidence의 역할을 재확정하고 중복 정본을 만들지 않는다.",완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R003,Requirement,WP00,결함 분류,P0,Repository Governance,"모든 항목을 SourceConfirmed, ReportedUnverified, RuntimeRequired, NewRequirement 중 하나로 분류한다.",완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R004,Requirement,WP00,상태 제한,P0,Repository Governance,완료·부분 구현·미구현·미검증·실패·재확인 필요 외 상태명을 쓰지 않는다.,완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R005,Requirement,WP00,영향도 선행 분석,P0,Repository Governance,"수정 전에 Requirement, Owner, Consumer, API, SQL, UI, Generator, Test, Evidence 영향을 기록한다.",완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R006,Requirement,WP00,공통 원인 통합,P0,Repository Governance,같은 Contract/DB/UI Component를 공유하는 결함은 한 Work Package로 묶는다.,완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R007,Requirement,WP00,작업 순서,P0,Repository Governance,Contract/Schema→Runtime Adapter→Consumer→ADM UI→Test→통합 검증 순서를 따른다.,완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R008,Requirement,WP00,저비용 Gate,P0,Repository Governance,"Compile, Unit, Ownership, Secret, Route, SQL Syntax Gate를 개발 중 지속 실행한다.",완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R009,Requirement,WP00,고비용 검증 통합,P0,Repository Governance,"전체 Build, 3 Vendor, Browser, Multi-instance는 연결 완료 SHA에서 통합 실행한다.",미검증,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R010,Requirement,WP00,중간 Push 판정,P0,Repository Governance,완료 Evidence 없는 사용 한도/환경 중단 Push는 중간 Push로 판정한다.,완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R011,Requirement,WP00,사용자 변경 보호,P0,Repository Governance,"로컬 WIP를 reset, clean, revert로 폐기하지 않는다.",완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R012,Requirement,WP00,Test 약화 금지,P0,Repository Governance,"Test 삭제, Assertion 약화, Gate 범위 축소, 예외 삼킴을 금지한다.",완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R013,Requirement,WP00,미실행 성공 금지,P0,Repository Governance,실행하지 않은 검증을 PASS로 기록하지 않는다.,완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R014,Requirement,WP00,검증 재사용 규칙,P0,Repository Governance,이전 Evidence는 SHA·환경·범위가 동일할 때만 재사용한다.,완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R015,Requirement,WP00,크레딧 기록,P0,Repository Governance,비용 큰 검증의 유효 SHA와 재실행 조건을 Handover에 기록한다.,완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R016,Requirement,WP00,독립 수행 요청서,P0,Repository Governance,다음 세션이 이전 대화 없이 수행할 수 있게 경로·완료·금지 조건을 포함한다.,완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP00-R017,Requirement,WP00,Commit 통제,P0,Repository Governance,"사용자 명시 승인 전 Branch, Commit, Push, Tag, PR을 생성하지 않는다.",완료,미검증,cpf-docs/work/current; cpf-docs/work/state; build.gradle; exact-SHA 실행 Evidence 필요
WP01-R001,Requirement,WP01,Core Runtime SQL 완결,P0,각 Owner Module,MariaDB 전용 Inline SQL을 제거하고 3 Vendor 동등 결과를 내는 JDBC/Vendor Catalog 경계를 완결한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R002,Requirement,WP01,ADM Runtime SQL 완결,P0,각 Owner Module,"LIMIT, information_schema, ON DUPLICATE KEY, LAST_INSERT_ID 의존을 중립 흐름으로 교체한다.",완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R003,Requirement,WP01,Public Boundary,P0,각 Owner Module,ADM/BZA/Common/Reference/Batch/Gateway의 core common/internal 직접 Import를 제거한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R004,Requirement,WP01,BAT SQL Provider,P0,각 Owner Module,Batch Runtime은 주입 가능한 Public SPI로 Vendor SQL을 선택한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R005,Requirement,WP01,전체 Compile,P0,각 Owner Module,모든 Java Module compileJava/testClasses를 최신 SHA에서 통과한다.,미검증,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
