phase_id,sequence,phase_name,lane,predecessor_phase_ids,gate_requirement_id,entry_criteria,exit_criteria,why_this_order,next_phase_allowed_when,initial_status,baseline_sha
P00,0,정본·안전·상태 초기화,Governance,,CPF-GATE-00,최신 origin/master SHA 확인,활성 정본·단일 원장·역할 상태·보호 경로·Git/삭제 안전 규칙이 하나로 고정됨,기준과 상태가 흔들리면 이후 구현·Evidence를 전부 다시 작성하게 됨,Gate QA 통과,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba
P01,1,Repository 전체 Inventory·양방향 추적,Governance/Tooling,P00,CPF-GATE-01,P00 Gate 통과,Module·Package·API·SPI·Controller·SQL·DB·Config·Frontend·Generator·Script·Test·Doc·Evidence 미등록 0건,실제 Source 표면을 모르고 설계하면 누락·중복·잘못된 Owner 때문에 반복 개발이 발생함,Gate QA 통과,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba
P02,2,Architecture Ownership·Public API/SPI/Internal 경계,Architecture,P01,CPF-GATE-02,전체 Inventory와 Consumer Graph 확보,Owner·의존방향·Public API·SPI·Internal·DB Ownership·Topology 계약 확정 및 위반 Gate 동작,경계를 먼저 고정하지 않으면 구현 후 Module 이동과 Consumer 재이관이 반복됨,Gate QA 통과,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba
P03,3,공통 계약·표준 타입·보안·오류·Context,Core Standards,P02,CPF-GATE-03,Architecture Gate 통과,Header·Context·ID·Clock·Money·Error·Validation·State·Idempotency·Auth·Masking 계약과 Test Kit 확정,공통 계약이 늦게 바뀌면 DB·API·Frontend·Provider를 모두 다시 수정하게 됨,Gate QA 통과,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba
P04,4,Canonical Data·DB Schema·Migration·Runtime Query,Database,P03,CPF-GATE-04,상태·DTO·오류·시간·ID 계약 확정,Canonical Metadata→3 Vendor DDL/Migration/Query/Index/Seed/Install/Upgrade/Rollback 정합,DB 계약이 안정돼야 Repository·API·관리 화면을 중복 수정하지 않음,Gate QA 통과,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba
P05,5,Starter·Capability·Provider 기본 구현,Platform Capabilities,P03;P04,CPF-GATE-05,Core Contract와 필요한 DB Contract 확정,Public API/SPI·Internal Provider·AutoConfiguration·Health·Operations·Consumer·Publication 완성,Provider별 기능을 먼저 표준화해야 Product Runtime과 Generated Domain이 동일 계약을 사용함,Gate QA 통과,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba
P06,6,Generator·Profile·Generated Domain·Reference,Developer Experience,P05,CPF-GATE-06,공개 Profile/Capability/Provider 선택면 확정,Fresh Generate·Build·Run·Upgrade·Remove·Regenerate·cpf-member parity와 resolved lock 통과,제품 Consumer 개발 전에 생성 규칙을 고정해야 수동 이관과 재생성 충돌을 방지함,Gate QA 통과,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba
P07,7,Gateway·Batch·Messaging·외부연계·운영 Runtime,Product Runtime,P05;P06,CPF-GATE-07,Capability와 Generated Consumer 계약 통과,실제 Runtime의 정상·오류·다중 Instance·부분 실패·UNKNOWN·복구 구현 완료,운영 Backend/UI는 실제 Owner Runtime Command·Query 계약 위에 구축해야 함,Gate QA 통과,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba
P08,8,ADM/BZA Backend·권한·승인·감사·운영 Command,Control Plane Backend,P04;P07,CPF-GATE-08,Owner Runtime Query/Command와 DB 계약 확정,ADM/BZA API·Service·Repository·권한·Data Scope·Approval·Audit·Operation Ledger 완성,Frontend보다 Backend 계약을 먼저 완성해야 Mock 화면과 API 재생성을 반복하지 않음,Gate QA 통과,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba
P09,9,ADM/BZA 상용 Frontend,Frontend,P08,CPF-GATE-09,OpenAPI·Generated Client·Permission Manifest·DB Projection 확정,검색·Paging·상세·상태·위험조치·복구·접근성·반응형·3 Browser 기능 완성,안정된 Backend/OpenAPI 이후 UI를 연결해야 화면 재작성과 임시 JSON UI를 방지함,Gate QA 통과,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba
