requirement_id,priority,owner,requirement,change_target,consumer,acceptance_criteria,verification_method,evidence,regression_protection,development_status,verification_status
QA39-001,P0,QA Governance,"최신 master exact SHA와 Current/Request/Matrix/State/Handover/Codex를 단일 정본으로 맞추고, 6a9890e에서 추가된 상충 QA39 문서를 본 요청으로 대체한다.",cpf-docs/work/current; cpf-docs/work/state; cpf-docs/work/handover; cpf-docs/work/codex/qa39,모든 개발·QA AI,"모든 활성 문서가 exact SHA, 동일한 상태, 동일한 Starter 유지·삭제 결정을 표시하며 이전 상충 지시가 활성 정본으로 남지 않는다.",문서 교차검증; SHA 검색,Current/Request/State/Handover/Codex hash와 상충문서 대체 확인,과거 156/156 완료 판정 재승계 방지,부분 구현,미검증
QA39-002,P0,Build Foundation,RabbitMQ AutoConfiguration의 Queue 타입 모호성을 제거하고 전체 Java compile을 통과시킨다.,cpf-starters/messaging-rabbitmq/**,RabbitMQ 소비 서비스,JDK25 fresh Gradle compile/test가 성공한다.,빈 Gradle cache fresh build,"Gradle log, artifact hash",단일 파일 정적 결함이 전체 Build를 무효화하지 않도록 compile gate 상시화,미구현,실패
QA39-003,P0,Build Foundation,"미등록 FTPS, gRPC, Object Storage S3, Realtime WebFlux, SMB, SOAP, Webhook 모듈을 제품 범위에서 완전 제거한다. 신규 제품화나 settings 등록으로 대체하지 않는다.",cpf-starters/integration-ftps; cpf-starters/integration-grpc; cpf-starters/integration-object-storage-s3; cpf-starters/integration-realtime-webflux; cpf-starters/integration-smb; cpf-starters/integration-soap; cpf-starters/integration-webhook; settings/BOM/catalog/generator/docs/tests,없음 또는 미확인,7개 모듈의 Source·Test·Config·Catalog·BOM·Generator·문서·Evidence 참조가 모두 제거되고 fresh build에서 잔여 참조가 0건이다.,exact path/reference search; settings/catalog/BOM parity; fresh build,Final Delete Manifest + reference-zero log + build log,실험 Source가 제품 완료 수치에 포함되는 문제 방지,부분 구현,미검증
QA39-004,P0,Starter Architecture,모든 유지 Starter/Capability에 OSS 직접 사용 대비 CPF Value Contract를 의무화하고 편의성·확장성·운영성·표준화·독립성을 실제 Public API/SPI와 Consumer로 입증한다.,cpf-starters/**; cpf-tools/generator/contracts/**,모든 제품 Consumer,"각 유지 Capability가 간단한 CPF Public API, OSS 타입 비노출, Provider 교체, 고객사 SPI, 공통 보안·감사·복구 중 요구되는 항목을 실제 Consumer와 Runtime으로 증명한다.",Starter value catalog + consumer compile/runtime test,CPF_QA39_STARTER_VALUE_CATALOG.csv,의존성 포장만 한 thin wrapper 재발 방지,미구현,미검증
QA39-005,P0,Starter Architecture,개발자가 보는 공개 선택면을 6개 Use-case Profile과 7개 Capability Group으로 확정하고 Provider/Codec/Exporter Leaf를 내부 구현으로 숨긴다.,settings.gradle; cpf-tools/release; BOM; generator profiles,Generator와 모든 업무 모듈,"공개 Catalog는 minimal-domain, web-api, secure-api, browser-bff, event-service, batch-service와 data, messaging, integration, file, notification, security, platform-operations만 노출한다.",Catalog count gate; generator UX test,Artifact catalog snapshot,49개 Starter/13개 Profile 난립 재발 방지,미구현,미검증
QA39-006,P0,Starter Architecture,현재 security/cache Aggregate를 삭제하고 상호 배타 Provider를 동시에 끌어오지 않는 논리적 Security/Data 그룹과 내부 Leaf 선택 구조로 대체한다.,cpf-starters/security-aggregate; cpf-starters/cache-aggregate,ADM/BZA/Generated Domain,security-aggregate와 cache-aggregate 모듈 및 참조가 제거되고 선택하지 않은 Provider dependency/bean이 Runtime에 포함되지 않는다.,dependencyInsight; boot context matrix,dependency graph evidence,Dual Provider·불필요 footprint 방지,미구현,미검증
QA39-007,P0,Starter Architecture,13개 Profile을 6개 Use-case Profile로 통합하고 Provider별·기술별 Profile을 제거한다.,cpf-starters/profiles/**; capability-profiles.json,"Generator, ADM, BZA, Gateway, Reference, Member","Profile 공개 목록이 정확히 6개이며 provider별 event, persistence-mybatis, integration-tcp, observable-resilient, notification-service, scheduled-service, sftp-integration Profile의 공개 Artifact가 제거된다.",profile graph parser; dependency graph,profile graph JSON/hash,Profile가 Leaf 난립을 다시 노출하지 않도록 보호,미구현,미검증
QA39-008,P0,Messaging,Kafka/RabbitMQ/JMS/IBM MQ가 동일한 CPF Public Messaging API/SPI를 실제로 구현하고 OSS 타입을 Consumer API에 노출하지 않는다.,cpf-core broker API; cpf-starters/messaging-*,"Batch, Reference, Generated Domain",Provider 교체 시 업무 Source 변경 없이 binding/config만 변경된다.,provider contract test; customer plugin fixture,4-provider contract evidence,Provider별 별도 사용법·직접 SDK 참조 방지,부분 구현,미검증
QA39-009,P0,Messaging,Kafka Named Binding을 설정 기반으로 구현하고 무조건 kafka/default=true 등록을 제거한다.,CpfKafkaBindingAutoConfiguration; CpfKafkaProperties,다중 Provider Consumer,binding-name/default-binding이 설정과 일치하고 Default 0/2개는 정책대로 fail-closed한다.,Spring context matrix,binding matrix log,Kafka가 항상 Default가 되는 결함 방지,미구현,실패
QA39-010,P0,Messaging Reliability,"Outbox Worker와 Provider Client를 실제 연결하고 scheduler, lease reclaim, retry, DLQ, unknown-result reconcile을 완성한다.",messaging-reliability-jdbc/**,Kafka/RabbitMQ/JMS/IBM MQ Consumer,Process kill 후 CLAIMED/IN_FLIGHT가 회수되고 UNKNOWN은 자동 성공/실패 처리되지 않는다.,multi-instance kill test; DB lifecycle,DB rows + logs + reconcile result,Worker/Repository/Client가 분리된 채 Consumer 없는 추상화로 남는 문제 방지,부분 구현,미검증
