work_item_id,source_requirement_ids,source_signal,priority,work_package,current_observation,development_scope,source_consumer_scope,static_high_intensity_acceptance,runtime_high_intensity_acceptance,documentation_currentization,garbage_cleanup,developer_status,verification_status,overall_status,source_identity,closure_rule
WP-R00.01,REOPEN-16,사용자 재개방 인수인계,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,과거 100%/PASS/CLOSED 자동 승계 금지,최신 Local Working Tree/전달 ZIP을 새 기준으로 고정하고 모든 개발GPT Closure를 재평가,전체 Repository/Evidence/Package,"ZIP SHA, source-state identity, manifest, current-only index를 전수 대조하고 과거 Identity 참조를 mutation으로 탐지",해당 없음,관련 정본·사용자/운영 문서·Evidence를 Source와 같은 변경에서 현행화,대체·생성된 stale/duplicate/temp 산출물은 Root-relative DELETE_MANIFEST에 등록,완료,완료,완료,79264c2975bd0b8504a0e2f8ec375070c08699ebcb512e26323d90d7e39490fb,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.02,REOPEN-17,사용자 재개방 인수인계,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,기존 Requirement가 실물 검증 없이 일부 Closure됨,208 Canonical Requirement → 개발 세부 항목 → Source/Consumer/Test/Runtime/Evidence의 완전한 역추적 인덱스를 유지,"208 Canonical Requirement 및 파생 30,605 execution dataset",missing requirement/work item/source/consumer/runtime/evidence link=0; duplicate/ownerless/dead link=0,해당 없음,관련 정본·사용자/운영 문서·Evidence를 Source와 같은 변경에서 현행화,대체·생성된 stale/duplicate/temp 산출물은 Root-relative DELETE_MANIFEST에 등록,완료,완료,완료,79264c2975bd0b8504a0e2f8ec375070c08699ebcb512e26323d90d7e39490fb,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.03,GOV-CURRENT-REQUEST,현재 사용자 지시,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,CPF_CURRENT_WORK_REQUEST가 2026-08-25/c79b... 기준으로 stale,CPF_CURRENT_WORK_REQUEST를 이 세션의 유일 현재 개발요청 정본으로 교체,개발GPT/후속 Codex/QA 인수인계,동일 역할의 dated/rev/final 문서 탐지 0; current index와 경로 일치,해당 없음,관련 정본·사용자/운영 문서·Evidence를 Source와 같은 변경에서 현행화,대체·생성된 stale/duplicate/temp 산출물은 Root-relative DELETE_MANIFEST에 등록,완료,완료,완료,79264c2975bd0b8504a0e2f8ec375070c08699ebcb512e26323d90d7e39490fb,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.04,GOV-CLOSURE-INVENTORY,현재 사용자 지시,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,기존 47행 Inventory가 45 CLOSED로 현재 실패상태를 반영하지 못함,세부 Closure Inventory를 재개방 기준으로 전면 currentize,개발 진행률/자체검수/후속 Codex,모든 REOPEN/Runtime/IDE Finding이 최소 1개 작업행에 매핑되고 누락=0,해당 없음,관련 정본·사용자/운영 문서·Evidence를 Source와 같은 변경에서 현행화,대체·생성된 stale/duplicate/temp 산출물은 Root-relative DELETE_MANIFEST에 등록,완료,완료,완료,79264c2975bd0b8504a0e2f8ec375070c08699ebcb512e26323d90d7e39490fb,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.05,GOV-DOC-SYNC,현재 사용자 지시,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,Source 수정과 문서 현행화가 분리되면 다음 세션에서 stale 정본 재발,모든 Source/SQL/API/Test/Config/Frontend/Script 변경과 동시에 관련 정본·매뉴얼·Evidence를 같은 작업에서 currentize,모든 변경 Owner,Source 변경 manifest와 문서 impact matrix 전수 대조; 변경 후 stale 문서 참조 0,해당 없음,관련 정본·사용자/운영 문서·Evidence를 Source와 같은 변경에서 현행화,대체·생성된 stale/duplicate/temp 산출물은 Root-relative DELETE_MANIFEST에 등록,완료,완료,완료,79264c2975bd0b8504a0e2f8ec375070c08699ebcb512e26323d90d7e39490fb,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.06,GOV-GARBAGE-ZERO,현재 사용자 지시,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,work/current에 중복 과거 지침/리뷰/재검수 문서가 병존,동일 역할은 current 1본만 유지하고 superseded 자료를 Delete Manifest로 제거 가능하게 관리,"work/current, evidence/current, generated/temp",duplicate role documents=0; protected path 오삭제=0; manifest path exists/replacement valid,해당 없음,관련 정본·사용자/운영 문서·Evidence를 Source와 같은 변경에서 현행화,대체·생성된 stale/duplicate/temp 산출물은 Root-relative DELETE_MANIFEST에 등록,완료,완료,완료,79264c2975bd0b8504a0e2f8ec375070c08699ebcb512e26323d90d7e39490fb,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.07,GOV-TEST-STRENGTH;REOPEN-14;REOPEN-15,현재 사용자 지시,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,Smoke/부분 Gate PASS가 Closure 근거로 오용된 이력,정적/Runtime을 구분하지 않고 모든 QA 검증을 최대강도 영향범위 테스트로 정의,모든 WP,repo-wide upstream/downstream/consumer/negative/mutation/regression 포함; targeted only를 final PASS로 인정하지 않음,Fresh 준비→실제 거래→오류/경계/부분실패/UNKNOWN/동시성/kill/recovery/reconcile→cleanup→rerun→regression 전 범위,관련 정본·사용자/운영 문서·Evidence를 Source와 같은 변경에서 현행화,대체·생성된 stale/duplicate/temp 산출물은 Root-relative DELETE_MANIFEST에 등록,완료,미검증,미검증,79264c2975bd0b8504a0e2f8ec375070c08699ebcb512e26323d90d7e39490fb,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.01,RT-91;RT-92;RT-94;RT-95;RT-96;RT-106;RT-109;RT-140;IDE-CPFATTR,Runtime+VSCode,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,CpfAttributes.java가 Map/Collections/LinkedHashMap/Optional import 없이 존재; Root/Generated/One-WAS 연쇄 실패,java.util import/공개 API null/type/immutability 계약을 정상화하고 동일 패턴 전역 탐색,"framework:base-runtime, 모든 Starter/Generated Domain/One-WAS",전체 Java source compile dependency graph + public API usage + null/generic mutation + duplicate/missing import 전수,Java25 Gradle clean build/test/publication + member/external/scratch generated build + One-WAS start/transaction/stop,관련 정본·사용자/운영 문서·Evidence를 Source와 같은 변경에서 현행화,대체·생성된 stale/duplicate/temp 산출물은 Root-relative DELETE_MANIFEST에 등록,완료,미검증,미검증,79264c2975bd0b8504a0e2f8ec375070c08699ebcb512e26323d90d7e39490fb,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.02,IDE-BUILD-PATH,VSCode,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,cpf-starters/base build path에서 CpfLogFilePolicy$Rolling class file 누락 진단,base/common logging dependency ownership과 Gradle/JDT classpath를 canonical owner 기준으로 정리,"base starter, common logging, IDE sync, publication",Gradle dependency closure + JDT project classpath + internal/public visibility + cycle/duplicate source root 전수,Java25 clean build + fresh IDE import 후 실제 starter consumer bootstrap,관련 정본·사용자/운영 문서·Evidence를 Source와 같은 변경에서 현행화,대체·생성된 stale/duplicate/temp 산출물은 Root-relative DELETE_MANIFEST에 등록,완료,미검증,미검증,79264c2975bd0b8504a0e2f8ec375070c08699ebcb512e26323d90d7e39490fb,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.03,IDE-BATCH-RETENTION,VSCode,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,Batch control-plane retention API/SPI unresolved 다수,Retention API/SPI owner와 batch control-plane direct dependency/공개경계를 정리,"Batch retention controller/service/handler, platform operations retention","unresolved import=0, project dependency declaration/visibility/consumer graph/ArchUnit 전수",Batch control-plane 기동 후 retention query/execute/auth/audit/failure/retry 실제 경로,관련 정본·사용자/운영 문서·Evidence를 Source와 같은 변경에서 현행화,대체·생성된 stale/duplicate/temp 산출물은 Root-relative DELETE_MANIFEST에 등록,완료,미검증,미검증,79264c2975bd0b8504a0e2f8ec375070c08699ebcb512e26323d90d7e39490fb,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
